user_id,age,gender,occupation_status,education_level,income_level,relationship_status,living_situation,country_region,ai_chatbot_platform,primary_use_case,daily_ai_chat_hours,human_social_interaction_hours,social_media_hours_daily,screen_time_total_hours,number_of_close_friends,loneliness_score,emotional_attachment_score,real_relationship_satisfaction,prefers_ai_over_humans,sleep_hours,sleep_quality_score,exercise_hours_weekly,anxiety_score,depression_score,stress_score,self_esteem_score,academic_or_work_performance_change,therapy_attendance,dependency_risk_label
U0012,37,Female,Student,Undergraduate,Lower-Middle,In a Relationship,With Family,Asia,Claude,Productivity/Work,2.43,4.01,2.94,5.08,2,6.2,4.7,6.8,No,7.5,6.1,3.5,5.8,3.6,7.1,5.2,Improved,No,Low
U0013,25,Female,Employed Full-Time,High School,Lower-Middle,Married,With Family,North America,Replika,Companionship,3.04,2.25,1.68,5.77,1,8.0,8.3,3.6,Yes,6.1,4.9,3.7,6.9,9.4,7.9,4.9,Declined,No,High
U0014,25,Female,Freelancer,Undergraduate,Upper-Middle,Married,With Family,Asia,Other/Multiple,Learning,1.36,2.1,1.75,5.23,3,7.2,4.1,6.1,No,6.5,6.3,0.3,5.5,4.5,6.7,6.9,Improved,No,High
U0015,38,Female,Employed Full-Time,High School,Low,Single,With Family,North America,Character.AI,Companionship,2.93,2.64,3.04,8.09,6,4.4,2.5,3.6,No,8.1,5.3,4.0,2.9,4.9,5.7,5.5,Same,No,Moderate
U0016,35,Female,Employed Part-Time,Graduate,Lower-Middle,Single,With Partner,Europe,Replika,Therapy-Substitute,0.0,4.47,2.23,2.82,5,3.7,5.6,8.4,No,8.2,6.7,3.5,2.9,3.7,2.6,6.8,Improved,No,Low
U0017,18,Female,Unemployed,Postgraduate,Lower-Middle,Married,Alone,Asia,Character.AI,Productivity/Work,0.0,7.42,0.0,1.0,8,1.0,1.0,10.0,No,7.6,9.6,5.9,1.3,1.0,2.0,10.0,Improved,No,Low
U0018,22,Female,Student,High School,Low,In a Relationship,With Partner,Europe,Replika,Productivity/Work,3.04,4.98,3.87,10.39,4,7.5,6.9,7.3,No,6.9,6.5,4.4,5.7,5.3,7.7,6.2,Same,No,High
U0019,38,Male,Student,Postgraduate,Upper-Middle,In a Relationship,With Roommates,Europe,Character.AI,Therapy-Substitute,4.41,2.55,3.4,9.91,1,8.3,7.5,5.2,Yes,7.9,2.2,0.7,5.5,5.2,8.8,5.0,Declined,No,High
U0020,17,Male,Employed Full-Time,Undergraduate,Lower-Middle,In a Relationship,With Family,North America,ChatGPT,Companionship,0.0,4.96,1.86,5.42,4,1.9,2.0,8.8,No,9.3,7.7,6.1,1.0,1.0,3.2,8.4,Improved,No,Low
U0021,36,Male,Student,Undergraduate,Lower-Middle,In a Relationship,With Roommates,Asia,Character.AI,Therapy-Substitute,1.69,3.64,3.7,8.89,1,5.2,5.6,6.0,No,6.2,7.0,4.7,3.6,1.7,5.0,5.2,Same,No,Low
U0022,35,Female,Employed Part-Time,High School,Low,Married,With Family,Europe,Character.AI,Entertainment,2.56,1.86,3.77,9.06,3,5.8,7.2,5.6,Yes,7.7,5.4,3.7,6.4,6.7,6.7,6.1,Same,No,High
U0023,16,Female,Unemployed,Undergraduate,Lower-Middle,Divorced/Separated,With Roommates,Africa,Claude,Entertainment,1.47,5.18,2.7,6.23,6,5.1,4.1,3.8,No,8.1,5.2,5.5,2.8,6.7,5.0,7.4,Same,Yes,Moderate
U0024,38,Female,Student,Graduate,Lower-Middle,In a Relationship,With Family,Asia,Replika,Companionship,3.15,4.83,3.08,7.84,4,8.6,8.8,3.4,Yes,5.2,5.1,3.4,8.6,6.7,5.1,2.8,Declined,No,High
U0025,26,Male,Student,Graduate,Upper-Middle,Single,With Partner,Asia,Replika,Learning,0.71,3.46,3.25,6.68,3,7.4,3.7,8.5,No,7.3,7.0,5.2,4.5,4.1,5.5,6.1,Same,No,Low
U0026,44,Male,Employed Part-Time,High School,Low,Married,With Family,Asia,ChatGPT,Therapy-Substitute,0.57,3.39,2.19,4.6,7,4.4,5.1,8.1,No,7.8,8.1,3.3,1.8,1.0,3.5,7.1,Same,No,Low
U0027,20,Male,Student,High School,Lower-Middle,Single,With Family,Europe,Replika,Learning,2.43,3.63,3.46,7.3,5,8.5,6.7,2.4,Yes,5.2,4.3,4.5,8.8,5.6,9.8,3.5,Declined,Yes,High
U0028,16,Male,Employed Part-Time,Undergraduate,Lower-Middle,Single,With Partner,Asia,Character.AI,Productivity/Work,0.3,5.35,0.35,1.0,6,3.5,2.4,8.3,No,8.3,8.7,3.3,2.6,3.1,3.1,7.4,Improved,Yes,Low
U0029,42,Female,Employed Full-Time,Undergraduate,Upper-Middle,Married,With Family,North America,Claude,Productivity/Work,0.69,5.13,1.29,3.89,7,2.6,3.5,6.2,No,9.7,8.4,5.4,3.7,1.0,4.0,8.9,Improved,No,Low
U0030,35,Male,Employed Full-Time,High School,Lower-Middle,Single,With Roommates,Europe,Other/Multiple,Learning,1.64,6.57,0.49,5.23,7,4.5,1.0,7.3,No,8.9,8.7,4.1,3.1,1.2,3.7,8.3,Same,No,Low
U0031,15,Male,Student,Undergraduate,Upper-Middle,Single,With Roommates,North America,ChatGPT,Learning,0.0,3.89,2.12,5.38,5,2.4,3.4,8.7,No,7.9,8.8,2.8,2.7,2.3,2.2,10.0,Improved,No,Low
U0032,26,Female,Employed Full-Time,Graduate,Upper-Middle,Single,With Partner,North America,Claude,Productivity/Work,1.55,2.44,3.87,7.48,3,5.1,5.4,6.4,No,6.6,6.1,3.0,4.4,5.3,5.8,7.3,Same,No,Moderate
U0033,40,Male,Employed Full-Time,Postgraduate,Upper-Middle,Married,With Partner,North America,ChatGPT,Companionship,1.84,4.4,2.9,5.86,2,3.7,7.2,8.0,No,7.7,7.3,4.4,3.9,2.8,4.5,7.1,Same,No,Low
U0034,36,Female,Employed Full-Time,Undergraduate,Lower-Middle,In a Relationship,With Partner,North America,ChatGPT,Productivity/Work,3.58,3.53,5.47,11.96,3,6.0,8.2,6.6,Yes,5.8,5.9,5.5,5.3,5.2,7.1,6.8,Same,No,Moderate
U0035,43,Female,Student,Postgraduate,Lower-Middle,In a Relationship,With Family,Asia,Character.AI,Productivity/Work,0.0,5.55,0.3,2.29,6,1.0,1.0,7.9,No,7.8,10.0,8.8,1.5,1.0,2.9,9.7,Improved,No,Low
U0036,26,Male,Employed Part-Time,Undergraduate,Upper-Middle,Single,With Partner,Asia,ChatGPT,Productivity/Work,0.0,7.7,1.97,3.61,5,2.8,3.9,8.3,No,6.0,10.0,5.2,2.0,1.0,3.3,10.0,Improved,Yes,Low
U0037,39,Female,Unemployed,Undergraduate,High,Married,With Roommates,South America,Replika,Companionship,1.19,3.63,1.37,3.1,4,5.0,5.6,4.8,No,7.4,7.0,1.9,4.3,4.0,4.1,5.5,Improved,No,Low
U0038,31,Female,Student,High School,High,Married,With Roommates,Asia,ChatGPT,Entertainment,1.94,1.83,3.77,9.81,0,8.0,8.3,2.5,No,5.7,4.3,0.3,5.7,7.4,6.6,3.8,Same,Yes,High
U0039,41,Non-binary,Student,Undergraduate,Lower-Middle,Single,With Family,Europe,ChatGPT,Companionship,1.25,3.71,1.4,5.39,5,6.4,3.4,4.3,No,7.3,7.3,4.7,5.3,4.7,7.6,4.6,Declined,No,Moderate
U0040,41,Male,Student,Postgraduate,Low,Single,With Roommates,Africa,Character.AI,Therapy-Substitute,0.82,5.62,2.48,6.14,6,3.8,1.4,7.8,No,7.5,8.0,5.8,3.6,1.0,4.1,6.7,Same,No,Low
U0041,24,Non-binary,Employed Full-Time,Undergraduate,Lower-Middle,Single,With Partner,Asia,Replika,Companionship,0.0,4.91,0.65,1.79,7,1.1,1.0,10.0,No,7.1,7.9,4.9,3.7,2.7,5.0,8.4,Improved,No,Low
U0042,42,Female,Employed Full-Time,Undergraduate,Upper-Middle,Divorced/Separated,With Partner,North America,Other/Multiple,Productivity/Work,1.16,4.57,0.0,3.24,3,2.7,2.4,8.7,No,7.6,6.8,3.0,3.8,1.3,2.9,8.7,Improved,No,Low
U0043,42,Male,Employed Full-Time,Undergraduate,Lower-Middle,In a Relationship,Alone,North America,Replika,Companionship,1.29,5.05,1.77,4.98,5,5.0,4.7,4.6,Yes,6.4,8.8,5.5,3.5,4.0,7.6,6.3,Same,No,Low
U0044,30,Male,Student,High School,Lower-Middle,Married,With Family,South America,Replika,Companionship,0.0,7.65,1.94,4.72,8,1.0,1.0,10.0,No,10.0,9.9,5.0,1.0,1.0,1.0,7.5,Improved,No,Low
U0045,29,Prefer not to say,Student,Graduate,Upper-Middle,Single,With Family,Africa,Character.AI,Entertainment,0.2,5.55,1.7,5.25,7,1.3,2.6,7.0,No,7.1,9.4,4.8,2.4,1.0,2.4,8.4,Same,No,Low
U0046,44,Female,Employed Full-Time,Undergraduate,Lower-Middle,Married,With Partner,Europe,ChatGPT,Learning,2.55,7.23,2.53,5.64,7,2.4,1.9,6.0,No,7.1,6.6,5.6,2.1,2.7,4.3,6.2,Improved,No,Low
U0047,44,Male,Employed Full-Time,Undergraduate,Upper-Middle,Married,With Roommates,Asia,ChatGPT,Companionship,0.91,6.26,2.37,4.2,4,4.7,5.0,5.7,Yes,6.3,8.5,1.3,3.3,2.5,5.8,6.0,Same,No,Low
U0048,29,Female,Freelancer,Undergraduate,Lower-Middle,In a Relationship,Alone,Europe,Character.AI,Productivity/Work,1.54,2.65,2.26,6.45,4,6.3,3.3,6.6,No,6.0,6.0,5.5,3.5,6.5,5.7,7.5,Improved,No,Low
U0049,44,Male,Student,Undergraduate,Lower-Middle,Divorced/Separated,With Family,North America,Replika,Productivity/Work,1.38,2.98,1.9,4.78,4,4.1,1.7,7.9,No,7.5,7.7,8.3,2.9,2.4,1.7,5.5,Same,No,Low
U0050,33,Male,Employed Full-Time,High School,Lower-Middle,Single,Alone,North America,Character.AI,Entertainment,1.7,4.24,3.25,7.77,5,7.2,6.2,5.8,Yes,5.5,5.3,3.6,6.4,6.1,5.2,3.6,Same,No,Moderate
U0051,26,Male,Student,Graduate,Upper-Middle,Single,Alone,Asia,Replika,Entertainment,2.68,5.23,1.53,5.84,5,5.2,3.8,6.5,No,6.7,6.9,3.8,2.4,3.0,3.8,3.8,Same,No,Moderate
U0052,37,Male,Employed Full-Time,High School,Low,In a Relationship,With Partner,Asia,Character.AI,Productivity/Work,0.0,4.18,2.89,3.64,5,4.4,2.8,5.6,No,7.6,7.4,4.5,5.3,4.1,2.7,6.2,Same,No,Low
U0053,34,Male,Employed Full-Time,Graduate,Low,In a Relationship,With Roommates,South America,ChatGPT,Therapy-Substitute,2.01,2.79,4.27,6.52,1,8.4,7.2,6.3,No,6.2,6.4,3.6,5.5,4.5,6.1,2.7,Same,Yes,Moderate
U0054,39,Male,Employed Full-Time,Graduate,High,In a Relationship,With Family,North America,ChatGPT,Entertainment,1.98,2.56,2.87,7.33,2,7.2,6.6,5.9,No,4.6,6.3,2.2,4.9,3.5,3.4,3.0,Same,No,Low
U0055,17,Female,Freelancer,Graduate,Low,Single,Alone,Asia,Claude,Companionship,0.0,4.43,0.52,3.03,3,2.9,1.0,8.4,No,9.2,9.5,4.1,2.7,1.0,3.7,8.5,Improved,No,Low
U0056,19,Male,Student,Undergraduate,Lower-Middle,In a Relationship,With Family,North America,Replika,Productivity/Work,0.0,5.17,1.73,4.7,3,4.6,2.5,5.6,No,7.3,7.3,3.5,4.2,2.9,5.8,6.4,Same,No,Low
U0057,33,Male,Student,Undergraduate,Lower-Middle,Single,With Partner,South America,Claude,Learning,3.74,2.64,5.15,11.22,4,7.0,5.8,3.4,Yes,6.6,5.7,3.2,5.0,6.0,8.5,3.2,Same,Yes,High
U0058,21,Female,Employed Part-Time,High School,Lower-Middle,Single,With Family,Europe,ChatGPT,Entertainment,3.21,3.14,3.11,4.55,3,7.8,9.4,2.2,No,6.1,4.1,1.2,4.8,9.7,5.5,4.4,Declined,No,High
U0059,35,Female,Employed Full-Time,Graduate,Upper-Middle,In a Relationship,Alone,Asia,Other/Multiple,Productivity/Work,2.88,1.77,3.52,8.91,4,5.1,6.6,6.1,No,7.5,5.3,1.5,6.1,8.1,4.5,5.4,Declined,Yes,Moderate
U0060,23,Female,Student,Undergraduate,Low,In a Relationship,With Family,Asia,ChatGPT,Productivity/Work,2.49,5.26,2.08,5.11,7,1.7,5.6,7.5,Yes,8.0,8.8,3.6,4.9,3.1,5.9,7.1,Improved,No,Low
U0061,21,Male,Student,Undergraduate,Lower-Middle,Single,With Roommates,Asia,ChatGPT,Productivity/Work,1.46,4.12,2.68,4.27,4,6.4,5.8,4.0,No,7.6,6.6,1.5,4.8,6.0,7.1,4.0,Same,No,Moderate
U0062,32,Male,Student,Undergraduate,Lower-Middle,Single,With Roommates,Africa,Other/Multiple,Productivity/Work,0.55,1.77,2.54,3.11,2,7.9,6.0,2.8,Yes,6.7,5.5,4.0,7.7,4.2,8.0,6.8,Declined,Yes,High
U0063,18,Male,Unemployed,High School,Upper-Middle,Single,With Roommates,Europe,ChatGPT,Therapy-Substitute,2.57,4.13,1.65,4.13,3,5.3,5.9,4.6,No,5.7,5.3,0.0,4.8,1.7,6.6,4.4,Declined,No,High
U0064,39,Male,Student,Undergraduate,Low,Single,With Family,North America,Replika,Productivity/Work,1.57,3.75,3.47,7.32,3,4.8,6.6,5.7,No,7.2,3.9,2.0,6.6,4.5,5.7,4.8,Declined,No,Low
U0065,42,Male,Student,High School,Lower-Middle,Married,With Family,Europe,ChatGPT,Entertainment,0.27,3.82,1.26,2.79,4,4.1,3.3,4.7,No,7.4,6.6,6.4,2.9,4.1,4.0,7.1,Same,No,Moderate
U0066,28,Male,Student,Graduate,Low,Married,With Family,North America,Character.AI,Entertainment,0.22,2.57,1.63,2.33,7,1.0,1.0,10.0,No,7.4,8.4,5.3,1.0,2.1,3.6,8.7,Same,No,Low
U0067,32,Male,Student,Undergraduate,Lower-Middle,Single,With Roommates,South America,Other/Multiple,Companionship,3.24,3.53,2.42,7.68,5,4.2,2.3,7.7,No,6.4,6.4,4.5,3.5,4.9,4.2,7.3,Improved,No,Low
U0068,40,Male,Student,High School,Low,Married,With Family,North America,ChatGPT,Productivity/Work,0.53,5.05,2.58,4.0,5,2.2,2.0,7.9,No,8.0,8.7,4.6,2.7,2.2,4.0,6.9,Same,No,Low
U0069,23,Female,Employed Full-Time,Undergraduate,Low,Married,Alone,Asia,Replika,Productivity/Work,1.38,4.19,1.22,5.58,5,2.7,3.7,8.4,No,7.4,9.5,3.9,4.5,2.7,3.4,5.8,Improved,Yes,Low
U0070,40,Male,Student,High School,Upper-Middle,Married,With Partner,Asia,ChatGPT,Therapy-Substitute,2.57,2.2,5.01,11.04,3,6.8,7.2,3.2,Yes,5.6,5.3,3.9,7.7,8.0,7.8,1.4,Declined,Yes,High
U0071,35,Male,Employed Part-Time,Undergraduate,Lower-Middle,Single,With Partner,North America,Character.AI,Companionship,1.39,4.45,3.31,6.48,4,5.6,7.9,4.7,Yes,7.8,4.1,2.0,5.5,7.4,8.1,6.3,Same,Yes,High
U0072,16,Female,Student,Graduate,High,Divorced/Separated,Alone,Africa,ChatGPT,Therapy-Substitute,0.03,5.79,3.4,6.81,4,1.0,2.8,7.7,No,8.8,10.0,4.8,1.1,1.0,1.7,8.9,Improved,No,Low
U0073,34,Female,Employed Full-Time,High School,High,Single,Alone,Asia,ChatGPT,Entertainment,0.53,3.1,0.0,3.9,5,3.4,1.9,10.0,No,8.2,7.9,6.3,1.8,2.0,2.6,7.9,Improved,No,Low
U0074,42,Male,Unemployed,Graduate,Lower-Middle,Single,With Family,South America,ChatGPT,Productivity/Work,0.65,4.22,4.57,7.3,5,3.6,3.6,6.1,No,8.4,4.9,1.5,2.8,4.0,4.3,8.9,Improved,No,Low
U0075,29,Female,Employed Full-Time,High School,Low,Single,With Roommates,Europe,ChatGPT,Learning,2.03,4.8,1.73,7.5,6,2.3,3.6,7.1,No,7.7,7.6,4.3,3.1,2.8,2.5,6.6,Improved,No,Low
U0076,42,Female,Employed Full-Time,High School,Lower-Middle,In a Relationship,With Partner,Asia,Other/Multiple,Learning,0.5,2.83,3.04,4.92,4,6.6,4.6,8.6,Yes,6.1,7.4,2.8,4.9,3.9,6.3,5.4,Same,Yes,Moderate
U0077,21,Male,Student,Graduate,Upper-Middle,Single,With Family,Asia,Character.AI,Companionship,0.0,6.1,0.65,1.0,6,2.4,1.0,8.2,No,7.5,8.3,5.0,1.1,1.4,3.0,7.1,Improved,No,Low
U0078,26,Female,Student,Undergraduate,Lower-Middle,Single,Alone,Asia,ChatGPT,Companionship,2.31,1.48,1.89,4.65,2,4.3,6.1,5.0,No,7.0,5.8,2.1,5.5,6.6,6.6,2.6,Declined,No,Moderate
U0079,43,Non-binary,Employed Full-Time,High School,Low,Single,With Partner,Europe,Character.AI,Learning,1.16,3.91,1.93,4.42,3,6.1,3.0,6.8,No,7.6,5.8,4.6,5.4,3.0,5.3,8.4,Same,No,Low
U0080,22,Male,Freelancer,Undergraduate,Lower-Middle,Married,With Partner,Asia,ChatGPT,Learning,2.23,2.9,1.79,6.56,6,4.3,4.8,4.9,No,7.6,7.9,6.1,4.3,1.8,2.7,8.9,Same,Yes,Moderate
U0081,29,Male,Employed Full-Time,Undergraduate,Upper-Middle,Married,With Family,North America,Replika,Companionship,1.52,3.72,2.67,5.03,5,5.9,3.9,4.7,No,6.0,6.2,4.7,5.6,6.4,6.7,7.3,Improved,No,Moderate
U0082,17,Female,Employed Full-Time,Graduate,Upper-Middle,Single,Alone,North America,Other/Multiple,Companionship,0.8,5.17,3.2,5.33,6,3.8,4.8,9.5,No,8.0,9.1,4.0,3.3,3.3,3.7,8.0,Improved,No,Low
U0083,28,Female,Employed Part-Time,Undergraduate,Low,Married,With Family,Europe,Character.AI,Companionship,0.0,6.07,0.66,1.41,8,2.5,1.0,10.0,No,8.4,9.8,7.4,1.0,1.0,1.1,10.0,Same,No,Low
U0084,31,Male,Employed Full-Time,Graduate,Upper-Middle,Married,With Family,Asia,Claude,Learning,2.38,3.77,2.72,6.45,3,4.6,4.5,6.0,No,7.5,5.8,5.1,3.8,4.3,6.1,5.1,Improved,No,Low
U0085,18,Male,Student,Graduate,Low,Married,With Partner,North America,Character.AI,Companionship,0.17,4.38,2.56,6.08,4,1.1,4.7,5.9,No,6.5,8.8,4.9,5.1,4.6,5.2,7.0,Same,No,Low
U0086,32,Male,Employed Full-Time,Undergraduate,Low,Single,With Partner,North America,ChatGPT,Productivity/Work,0.0,5.13,0.0,2.36,7,1.8,1.1,8.3,Yes,9.4,7.5,6.7,1.0,2.1,5.8,7.2,Improved,No,Low
U0087,22,Female,Freelancer,Postgraduate,Upper-Middle,In a Relationship,With Roommates,North America,Replika,Entertainment,2.61,3.49,1.93,5.96,3,8.0,6.2,4.3,Yes,6.5,4.8,0.0,8.4,7.0,5.7,1.0,Same,No,High
U0088,18,Female,Student,Undergraduate,Low,Married,With Family,South America,Character.AI,Companionship,2.5,3.96,1.67,7.39,3,6.7,7.0,5.0,Yes,6.2,4.6,3.2,4.5,4.1,5.0,6.1,Declined,No,High
U0089,16,Male,Employed Full-Time,Postgraduate,Lower-Middle,In a Relationship,With Partner,Asia,Replika,Therapy-Substitute,4.09,2.74,4.57,10.69,0,10.0,7.7,2.5,Yes,5.9,3.2,1.5,10.0,7.0,7.7,2.0,Declined,Yes,High
U0090,44,Female,Student,High School,Low,Single,Alone,South America,Claude,Companionship,3.15,3.25,1.46,6.75,5,5.7,6.5,3.2,Yes,7.2,6.6,0.8,4.9,5.2,6.6,2.8,Same,No,High
U0091,20,Female,Employed Full-Time,Graduate,Upper-Middle,In a Relationship,With Family,Europe,Character.AI,Entertainment,0.44,3.05,1.17,4.75,2,3.6,3.7,6.0,No,8.0,6.8,5.1,2.5,1.0,3.6,6.8,Improved,No,Low
U0092,36,Male,Student,Undergraduate,Upper-Middle,In a Relationship,Alone,North America,Other/Multiple,Productivity/Work,1.16,5.85,0.23,3.05,6,3.0,3.9,9.2,No,6.7,8.8,6.5,1.0,1.0,2.6,9.0,Same,No,Low
U0093,24,Male,Employed Full-Time,Undergraduate,Upper-Middle,In a Relationship,With Family,Europe,Replika,Therapy-Substitute,1.26,5.89,2.49,6.67,5,3.9,5.1,9.7,No,8.4,8.2,4.3,5.7,3.3,4.1,7.1,Same,No,Low
U0094,18,Female,Employed Part-Time,Undergraduate,Upper-Middle,Single,With Roommates,North America,Character.AI,Therapy-Substitute,2.07,7.19,2.27,7.18,3,4.2,2.7,8.4,No,7.2,7.9,5.8,3.9,1.0,2.6,5.2,Improved,No,Low
U0095,36,Female,Student,Graduate,Low,Single,Alone,Asia,Character.AI,Companionship,1.29,5.33,2.31,5.45,6,5.5,5.7,7.5,No,6.9,8.1,5.4,5.5,5.4,7.0,4.3,Declined,No,Moderate
U0096,43,Female,Employed Full-Time,High School,Lower-Middle,Married,With Family,Europe,ChatGPT,Companionship,0.17,5.2,0.0,1.0,2,1.3,1.0,9.0,No,6.1,10.0,7.9,1.0,2.5,1.5,10.0,Improved,No,Low
U0097,32,Female,Employed Part-Time,High School,Lower-Middle,Married,With Family,North America,Other/Multiple,Productivity/Work,0.91,3.48,2.91,5.83,3,5.2,5.5,5.1,No,6.1,4.3,5.0,4.7,3.6,5.4,4.8,Improved,No,Moderate
U0098,40,Male,Unemployed,Graduate,Low,Single,With Family,Europe,Replika,Productivity/Work,3.93,3.63,2.92,9.99,5,6.8,6.4,6.1,No,6.5,7.8,5.9,5.6,4.5,2.3,7.1,Same,No,High
U0099,26,Male,Student,Graduate,Lower-Middle,Divorced/Separated,With Family,Asia,ChatGPT,Entertainment,2.83,3.01,3.84,9.49,2,8.5,5.7,4.9,Yes,7.0,6.1,2.6,4.1,7.3,3.9,7.2,Same,Yes,High
U0100,16,Female,Student,Postgraduate,High,Single,Alone,Africa,ChatGPT,Entertainment,0.0,5.15,3.11,6.82,6,4.6,1.9,10.0,No,7.3,8.9,4.8,2.0,1.0,2.3,7.6,Improved,No,Low
U0101,24,Male,Student,Graduate,Low,In a Relationship,With Partner,Europe,Character.AI,Productivity/Work,1.61,5.01,3.87,6.99,3,6.4,3.9,7.0,No,5.4,5.8,0.0,3.5,5.3,5.1,6.0,Same,No,Moderate
U0102,44,Male,Freelancer,Postgraduate,Lower-Middle,Married,With Family,Asia,ChatGPT,Therapy-Substitute,2.99,0.98,3.96,9.73,4,5.8,8.1,2.9,Yes,6.3,2.4,0.8,7.2,9.6,8.1,1.2,Same,No,High
U0103,18,Male,Unemployed,Graduate,Low,Married,With Family,North America,ChatGPT,Therapy-Substitute,1.85,3.94,1.35,4.2,11,1.0,3.3,5.6,No,7.4,8.4,6.9,1.0,1.0,1.7,6.9,Same,No,Low
U0104,28,Male,Employed Full-Time,Undergraduate,Low,Married,Alone,Europe,Character.AI,Entertainment,1.06,6.2,0.87,4.14,6,2.4,3.2,7.7,No,7.0,8.5,4.2,1.0,1.0,4.0,8.4,Same,No,Low
U0105,30,Male,Unemployed,High School,High,Single,With Roommates,South America,ChatGPT,Productivity/Work,2.07,4.67,4.57,9.74,4,6.5,4.8,3.1,No,6.6,7.6,3.7,4.9,6.2,7.0,4.4,Same,No,Moderate
U0106,29,Male,Employed Full-Time,Graduate,Lower-Middle,Married,With Family,North America,Character.AI,Companionship,0.0,4.41,1.7,4.6,4,2.8,3.4,8.0,No,6.1,7.4,5.5,3.3,4.6,4.2,8.4,Improved,No,Low
U0107,22,Male,Employed Full-Time,Undergraduate,Lower-Middle,Single,With Family,Africa,ChatGPT,Companionship,2.15,5.91,2.9,7.15,5,4.7,2.7,5.1,No,7.7,5.0,6.1,3.4,2.7,5.8,7.6,Improved,No,High
U0108,28,Male,Student,High School,Upper-Middle,In a Relationship,Alone,Asia,ChatGPT,Productivity/Work,4.09,3.35,3.39,9.21,1,6.6,8.0,4.7,No,5.8,2.4,0.0,8.6,10.0,6.1,3.9,Same,Yes,High
U0109,37,Female,Employed Part-Time,Undergraduate,Low,In a Relationship,With Family,North America,Replika,Productivity/Work,0.93,4.69,0.39,2.32,6,5.0,1.0,8.6,Yes,7.4,10.0,5.6,4.6,2.3,4.2,8.1,Same,No,Low
U0110,42,Female,Student,Postgraduate,Lower-Middle,In a Relationship,With Family,Africa,Character.AI,Productivity/Work,3.44,0.0,3.64,8.86,0,10.0,8.0,3.8,Yes,6.8,3.2,2.7,7.2,4.9,9.7,3.3,Same,No,High
U0111,39,Female,Employed Part-Time,Undergraduate,Lower-Middle,Single,With Roommates,Africa,ChatGPT,Companionship,0.82,2.7,1.86,3.37,3,2.7,2.5,8.1,No,6.8,8.7,3.1,2.1,5.2,6.1,6.0,Same,No,Low
